AmountPledged,ofImages,ofVideos,ofDescText,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,noOfRewards,pledgeDescLength,pledge_ColemanLiau,followers_count,friends_count,public_list_count,tweets_count,likes_count,rating
10000.0,15.0,1.0,772.0,9.0,2.0,3.0,8.0,1.0,1.0,729.0,74.0,3926.0,11.02,1786.0,465.0,12.0,611.0,456.0,1.0
7000.0,12.0,1.0,826.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,11.0,870.0,10.21,3185.0,251.0,7.0,80.0,69.0,1.0
30000.0,7.0,1.0,876.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,11.0,544.0,11.2,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
1500.0,8.0,0.0,469.0,144.0,1.0,1.0,5.0,1.0,1.0,256.0,7.0,89.0,11.16,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
28800.0,13.0,1.0,796.0,19.0,4.0,3.0,3.0,1.0,1.0,3993.0,18.0,890.0,9.04,15502.0,148.0,635.0,14528.0,8177.0,1.0
10000.0,64.0,1.0,1494.0,10.0,3.0,9.0,0.0,1.0,0.0,0.0,16.0,457.0,2.46,3728.0,2497.0,80.0,1816.0,6154.0,1.0
20000.0,0.0,1.0,693.0,25.0,1.0,1.0,0.0,0.0,1.0,1654.0,9.0,298.0,11.73,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
5000.0,12.0,1.0,3721.0,1.0,3.0,2.0,10.0,1.0,0.0,0.0,9.0,388.0,13.08,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,2.0,1.0,809.0,1.0,1.0,1.0,8.0,0.0,1.0,255.0,6.0,521.0,11.43,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,1.0,1.0,699.0,14.0,2.0,3.0,3.0,1.0,0.0,0.0,5.0,207.0,8.92,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
40000.0,19.0,1.0,948.0,6.0,5.0,2.0,10.0,1.0,1.0,1664.0,14.0,473.0,7.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
50000.0,8.0,1.0,2498.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,22.0,2301.0,15.09,9454.0,66.0,182.0,4908.0,204.0,1.0
5000.0,1.0,1.0,418.0,3.0,1.0,5.0,10.0,0.0,1.0,1385.0,15.0,191.0,15.08,5.0,10.0,298.5035971223,10.0,5.0,1.0
50000.0,6.0,1.0,1253.0,41.0,3.0,4.0,3.0,1.0,1.0,587.0,1.0,45.0,8.01,1964.0,986.0,64.0,6428.0,1578.0,1.0
100000.0,5.0,1.0,574.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,394.0,11.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,5.0,1.0,574.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,394.0,11.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
